Código do Município;Município;Estado;Região;Região Metropolitana;Ano de Referência;Código do Prestador;Prestador;Sigla do Prestador;Natureza Jurídica;POP_TOT - População total do município (Fonte: IBGE):;POP_URB - População urbana do município (Fonte: IBGE);CS001 - Existe coleta seletiva formalizada pela prefeitura no município?;CS050 - População urbana do município atendida com a coleta seletiva do tipo porta a porta executada pela Prefeitura (ou SLU);FN201 - A Prefeitura (Prestadora) cobra pelos serviços de coleta regular, transporte e destinação final de RSU (Antigo campo GE012);FN220 - Despesa total com serviços de manejo de RSU (Antigo campo GE007);FN221 - Receita orçada com a cobrança de taxas e tarifas referentes à gestão e manejo de RSU (Antigo campo GE005);FN222 - Receita arrecadada com taxas e tarifas referentes à gestão e manejo de RSU (Antigo campo GE006);FN223 - Despesa Corrente da Prefeitura durante o ano com TODOS os serviços do município (saúde, educação, pagamento de pessoal, etc.). (Antigo campo GE010);FN224 - A Prefeitura recebeu algum recurso federal para aplicação no setor de manejo de RSU? (Antigo campo GE025);FN225 - Valor repassado (Antigo campo GE026);FN226 - Tipo de recurso (Antigo campo GE028);PO021 - O município definiu mecanismos de participação e controle social?;PO036 - Limpeza pública e manejo de resíduos sólidos;PO040 - As metas do plano para os resíduos sólidos estão sendo alcançadas?;PO042 - O município é integrante de algum CONSÓRCIO INTERMUNICIPAL regulamentado pela Lei nº 11.107/2005 que tenha entre suas atribuições específicas a gestão ou prestação de um ou mais serviços de manejo de RSU (serviços de coleta de resíduos domiciliares ou públicos, operações de aterro sanitário etc.);PO044 - Qual o ano de adesão do município ao referido consórcio intermunicipal?;PO048 - O Município possui Plano Municipal de Gestão Integrada de Resíduos Sólidos (PMGIRS) conforme a Lei nº 12.305/2010 que trata da Política Nacional de Resíduos Sólidos?;PO049 - Quando foi aprovado?;PO050 - O Plano de Gestão de Resíduos Sólidos referido anteriormente é individualizado (somente para o município) ou é intermunicipal (regional) contemplando também outros municípios? ATENÇÃO: Não considerar o Plano Estadual como resposta!!!;PO051 - Quais os demais municípios abrangidos pelo Plano de Gestão [Regional]?;TB014 - Quantidade de trabalhadores de agentes privados envolvidos nos serviços de manejo de RSU (Antigo campo GE016);IN006 - Despesa per capita com manejo de rsu em relação à população urbana
TOTAL da AMOSTRA AC:;---;AC TOTAL da AMOSTRA;;---;---;---;---;---;---;742.749,00;560.976,00;;0;;56.288.597,19;8.145.577,00;10.064.775,57;1.902.207.959,68;;0;;;;;;;;;;;627;100,34
TOTAL da AMOSTRA AL:;---;AL TOTAL da AMOSTRA;;---;---;---;---;---;---;3.037.511,00;2.285.604,00;;313.532,00;;273.333.473,48;21.619.878,54;20.327.439,23;8.356.302.376,71;;0;;;;;;;;;;;2.337,00;119,59
TOTAL da AMOSTRA AM:;---;AM TOTAL da AMOSTRA;;---;---;---;---;---;---;3.712.920,00;3.106.101,00;;452.456,00;;429.970.015,69;2.800,00;994.090,22;8.681.017.421,02;;0;;;;;;;;;;;3.556,00;138,43
TOTAL da AMOSTRA AP:;---;AP TOTAL da AMOSTRA;;---;---;---;---;---;---;712.305,00;662.557,00;;0;;36.679.217,14;19.791.254,05;3.958.250,81;1.145.337.700,35;;0;;;;;;;;;;;379;55,36
TOTAL da AMOSTRA BA:;---;BA TOTAL da AMOSTRA;;---;---;---;---;---;---;12.151.090,00;9.200.783,00;;286.203,00;;1.299.230.222,55;176.082.035,83;167.251.447,15;31.392.170.941,53;;4.715.052,95;;;;;;;;;;;16.431,00;141,21
TOTAL da AMOSTRA CE:;---;CE TOTAL da AMOSTRA;;---;---;---;---;---;---;8.483.640,00;6.504.387,00;;237.317,00;;881.535.780,89;10.000,00;1.000.000,00;22.889.698.574,27;;355.000,00;;;;;;;;;;;8.477,00;135,53
TOTAL da AMOSTRA DF:;---;DF TOTAL da AMOSTRA;;---;---;---;---;---;---;3.055.149,00;2.950.603,00;;1.631.110,00;;482.562.163,34;182.886.863,00;167.244.888,34;21.405.698.051,47;;0;;;;;;;;;;;3.426,00;163,55
TOTAL da AMOSTRA ES:;---;ES TOTAL da AMOSTRA;;---;---;---;---;---;---;3.799.454,00;3.213.034,00;;634.473,00;;454.949.447,82;127.925.445,04;178.884.311,04;10.578.801.819,24;;1.507.654,81;;;;;;;;;;;4.449,00;141,59
TOTAL da AMOSTRA GO:;---;GO TOTAL da AMOSTRA;;---;---;---;---;---;---;6.811.777,00;6.229.733,00;;2.314.076,00;;880.844.972,81;63.006.341,09;37.068.450,26;20.076.354.545,15;;848.000,00;;;;;;;;;;;5.018,00;141,39
TOTAL da AMOSTRA MA:;---;MA TOTAL da AMOSTRA;;---;---;---;---;---;---;5.602.845,00;3.697.679,00;;49.000,00;;422.722.295,07;0;0;14.807.989.604,45;;371.325,19;;;;;;;;;;;6.365,00;114,32
