Município;Estado;Ano de Referência;FN220 - Despesa total com serviços de manejo de RSU (Antigo campo GE007);FN222 - Receita arrecadada com taxas e tarifas referentes à gestão e manejo de RSU (Antigo campo GE006);. ; DS_2016 
Brasília;DF;2014;378.088.216,27;130.782.505,00;;0,346
Abadia de Goiás;GO;2014;;;;0,000
Abadiânia;GO;2014;;;;0,000
Acreúna;GO;2014;592.990,00;0;;0,000
Água Limpa;GO;2014;;;;0,000
Águas Lindas de Goiás;GO;2014;;1.181.311,99;;0,000
Alexânia;GO;2014;263.132,00;;;0,000
Aloândia;GO;2014;;;;0,000
Alto Horizonte;GO;2014;;;;0,000
Alto Paraíso de Goiás;GO;2014;547.347,33;;;0,000
Alvorada do Norte;GO;2014;;;;0,000
Amaralina;GO;2014;;;;0,000
Amorinópolis;GO;2014;;;;0,000
Anápolis;GO;2014;40.731.564,62;8.639.583,24;;0,212
Anicuns;GO;2014;;;;0,000
Aparecida de Goiânia;GO;2014;17.460.929,63;;;0,000
Aparecida do Rio Doce;GO;2014;;;;0,000
Aragoiânia;GO;2014;;;;0,000
Araguapaz;GO;2014;422.000,00;;;0,000
Arenópolis;GO;2014;50.700,00;;;0,000
Aruanã;GO;2014;;;;0,000
Aurilândia;GO;2014;;;;0,000
Barro Alto;GO;2014;1.461.687,84;;;0,000
Bela Vista de Goiás;GO;2014;;;;0,000
Bom Jardim de Goiás;GO;2014;;;;0,000
Bonópolis;GO;2014;;;;0,000
Buriti Alegre;GO;2014;;;;0,000
Buritinópolis;GO;2014;;;;0,000
Cachoeira Alta;GO;2014;1.289.374,00;;;0,000
Cachoeira Dourada;GO;2014;;;;0,000
Caçu;GO;2014;1.725.637,51;;;0,000
Caiapônia;GO;2014;1.546.382,85;;;0,000
Campinorte;GO;2014;1.086.768,00;;;0,000
Campo Limpo de Goiás;GO;2014;;;;0,000
Campos Belos;GO;2014;;;;0,000
Carmo do Rio Verde;GO;2014;1.149.150,00;;;0,000
Catalão;GO;2014;;;;0,000
Caturaí;GO;2014;;;;0,000
Cavalcante;GO;2014;;;;0,000
Ceres;GO;2014;;;;0,000
Cezarina;GO;2014;;;;0,000
Chapadão do Céu;GO;2014;2.491.589,48;;;0,000
Cidade Ocidental;GO;2014;4.930.000,00;;;0,000
Córrego do Ouro;GO;2014;192.000,00;;;0,000
Corumbá de Goiás;GO;2014;;;;0,000
Corumbaíba;GO;2014;837.214,34;;;0,000
Cristalina;GO;2014;8.659.403,88;;;0,000
Cristianópolis;GO;2014;;;;0,000
Cromínia;GO;2014;428.832,27;;;0,000
Davinópolis;GO;2014;124.640,00;;;0,000
Diorama;GO;2014;;;;0,000
Doverlândia;GO;2014;;;;0,000
Edealina;GO;2014;;;;0,000
Edéia;GO;2014;;;;0,000
Estrela do Norte;GO;2014;;;;0,000
Firminópolis;GO;2014;;;;0,000
Formosa;GO;2014;5.017.320,00;714.032,00;;0,142
Gameleira de Goiás;GO;2014;108.072,00;;;0,000
Goianápolis;GO;2014;;;;0,000
Goiandira;GO;2014;;;;0,000
Goianésia;GO;2014;;;;0,000
Goiânia;GO;2014;168.585.679,90;;;0,000
Goiás;GO;2014;;;;0,000
Goiatuba;GO;2014;;;;0,000
Gouvelândia;GO;2014;;;;0,000
Guapó;GO;2014;;;;0,000
Guaraíta;GO;2014;114.300,00;;;0,000
Guarani de Goiás;GO;2014;;;;0,000
Heitoraí;GO;2014;;;;0,000
Hidrolândia;GO;2014;;;;0,000
Hidrolina;GO;2014;;;;0,000
Iaciara;GO;2014;414.240,81;;;0,000
Inaciolândia;GO;2014;;;;0,000
Indiara;GO;2014;;;;0,000
Inhumas;GO;2014;;;;0,000
Ipameri;GO;2014;1.029.382,16;;;0,000
Iporá;GO;2014;;;;0,000
Itaberaí;GO;2014;1.620.000,00;;;0,000
Itaguaru;GO;2014;;;;0,000
Itajá;GO;2014;360.000,00;;;0,000
Itapirapuã;GO;2014;;;;0,000
Itapuranga;GO;2014;329.203,17;;;0,000
Itarumã;GO;2014;1.047.480,32;8.501,95;;0,008
Itauçu;GO;2014;523.276,00;;;0,000
Itumbiara;GO;2014;7.610.911,59;75.537,90;;0,010
Jandaia;GO;2014;;;;0,000
Jataí;GO;2014;9.175.901,05;;;0,000
Jaupaci;GO;2014;;;;0,000
Jesúpolis;GO;2014;;;;0,000
Jussara;GO;2014;;;;0,000
Lagoa Santa;GO;2014;;;;0,000
Leopoldo de Bulhões;GO;2014;;;;0,000
Luziânia;GO;2014;4.991.676,52;1.826.261,34;;0,366
Mara Rosa;GO;2014;776.000,00;;;0,000
