Município;Estado;Ano de Referência;FN220 - Despesa total com serviços de manejo de RSU (Antigo campo GE007);FN222 - Receita arrecadada com taxas e tarifas referentes à gestão e manejo de RSU (Antigo campo GE006);. ;DS_2018
Assis Brasil;AC;2016;480.000,00;;;0,000
Brasiléia;AC;2016;657.774,00;;;0,000
Bujari;AC;2016;880.000,00;2.500,00;;0,003
Capixaba;AC;2016;85.401,60;;;0,000
Cruzeiro do Sul;AC;2016;795.000,00;;;0,000
Feijó;AC;2016;2.416.218,60;;;0,000
Manoel Urbano;AC;2016;134.333,06;;;0,000
Marechal Thaumaturgo;AC;2016;400.000,00;;;0,000
Rio Branco;AC;2016;49.658.958,55;4.548.835,07;;0,092
Rodrigues Alves;AC;2016;459.139,00;;;0,000
Santa Rosa do Purus;AC;2016;737.457,33;;;0,000
Sena Madureira;AC;2016;2.200.000,00;;;0,000
Xapuri;AC;2016;234.096,00;;;0,000
Água Branca;AL;2016;618.087,16;;;0,000
Arapiraca;AL;2016;8.051.063,74;263.735,52;;0,033
Atalaia;AL;2016;1.285.520,00;;;0,000
Barra de São Miguel;AL;2016;383.124,88;;;0,000
Batalha;AL;2016;160.000,00;;;0,000
Belo Monte;AL;2016;45.906,76;;;0,000
Boca da Mata;AL;2016;2.512.151,57;;;0,000
Cacimbinhas;AL;2016;762.100,00;;;0,000
Campestre;AL;2016;129.000,00;1;;0,000
Campo Alegre;AL;2016;298.535,35;;;0,000
Campo Grande;AL;2016;878.880,00;;;0,000
Canapi;AL;2016;845.244,00;;;0,000
Delmiro Gouveia;AL;2016;2.570.000,00;;;0,000
Dois Riachos;AL;2016;400.000,00;;;0,000
Feliz Deserto;AL;2016;466.000,00;;;0,000
Flexeiras;AL;2016;1.144.972,85;;;0,000
Ibateguara;AL;2016;519.079,37;;;0,000
Inhapi;AL;2016;586.180,00;;;0,000
Jacaré dos Homens;AL;2016;200.000,00;;;0,000
Japaratinga;AL;2016;640.000,00;;;0,000
Jequiá da Praia;AL;2016;258.612,00;;;0,000
Jundiá;AL;2016;18.720,00;;;0,000
Maceió;AL;2016;250.225.775,37;16.740.060,02;;0,067
Major Isidoro;AL;2016;652.464,00;;;0,000
Maravilha;AL;2016;757.100,00;;;0,000
Mata Grande;AL;2016;543.336,00;;;0,000
Matriz de Camaragibe;AL;2016;1.303.134,36;;;0,000
Novo Lino;AL;2016;1.008.126,00;;;0,000
Olho D ÁGUA das Flores;AL;2016;400.000,00;;;0,000
Olho D ÁGUA do Casado;AL;2016;150.000,00;;;0,000
Ouro Branco;AL;2016;468.000,00;;;0,000
Palestina;AL;2016;40.000,00;;;0,000
Palmeira dos Índios;AL;2016;3.338.000,00;150.000,00;;0,045
Pão de Açúcar;AL;2016;2.217.600,00;;;0,000
Pariconha;AL;2016;589.416,00;;;0,000
Penedo;AL;2016;5.573.201,60;;;0,000
Piaçabuçu;AL;2016;200.000,00;;;0,000
Pindoba;AL;2016;452.919,43;;;0,000
Poço das Trincheiras;AL;2016;400.000,00;;;0,000
Porto Calvo;AL;2016;2.400.000,00;;;0,000
