Município;Estado;Ano de Referência;FN220 - Despesa total com serviços de manejo de RSU (Antigo campo GE007);FN222 - Receita arrecadada com taxas e tarifas referentes à gestão e manejo de RSU (Antigo campo GE006);.;DS_2019
Brasiléia;AC;2017;803.159,80;;;0,000
Cruzeiro do Sul;AC;2017;899.000,00;;;0,000
Mâncio Lima;AC;2017;795.395,04;16.464,16;;0,021
Marechal Thaumaturgo;AC;2017;509.942,44;;;0,000
Rio Branco;AC;2017;38.144.121,07;6.974.217,40;;0,183
Rodrigues Alves;AC;2017;620.000,00;;;0,000
Santa Rosa do Purus;AC;2017;538.324,77;;;0,000
Água Branca;AL;2017;200.000,00;;;0,000
Arapiraca;AL;2017;8.286.786,00;;;0,000
Barra de São Miguel;AL;2017;400.000,00;;;0,000
Batalha;AL;2017;360.000,00;;;0,000
Belo Monte;AL;2017;560.142,26;;;0,000
Boca da Mata;AL;2017;2.105.196,80;188.000,00;;0,089
Cacimbinhas;AL;2017;782.100,00;;;0,000
Campestre;AL;2017;111.200,00;;;0,000
Campo Alegre;AL;2017;301.164,00;;;0,000
Canapi;AL;2017;845.244,00;;;0,000
Coruripe;AL;2017;3.238.495,64;;;0,000
Delmiro Gouveia;AL;2017;1.550.000,00;;;0,000
Dois Riachos;AL;2017;1.151.236,00;;;0,000
Girau do Ponciano;AL;2017;790.000,00;;;0,000
Ibateguara;AL;2017;525.358,37;;;0,000
Inhapi;AL;2017;940.000,00;;;0,000
Jacaré dos Homens;AL;2017;706.318,00;;;0,000
Japaratinga;AL;2017;640.000,00;;;0,000
Jequiá da Praia;AL;2017;547.116,99;;;0,000
Jundiá;AL;2017;299.520,00;;;0,000
Maceió;AL;2017;131.155.259,76;18.647.023,74;;0,142
Major Isidoro;AL;2017;2.014.733,00;;;0,000
Maravilha;AL;2017;1.063.836,00;;;0,000
Mata Grande;AL;2017;790.000,00;;;0,000
Novo Lino;AL;2017;560.000,00;;;0,000
Olho D ÁGUA das Flores;AL;2017;2.060.520,00;;;0,000
Ouro Branco;AL;2017;600.000,00;;;0,000
Palmeira dos Índios;AL;2017;4.129.424,00;110.000,00;;0,027
Pão de Açúcar;AL;2017;340.000,00;;;0,000
Pariconha;AL;2017;589.416,00;;;0,000
Penedo;AL;2017;10.828.731,96;;;0,000
Poço das Trincheiras;AL;2017;735.053,00;;;0,000
Porto Calvo;AL;2017;2.500.000,00;;;0,000
São Brás;AL;2017;425.120,00;;;0,000
São Miguel dos Campos;AL;2017;3.705.206,03;;;0,000
Senador Rui Palmeira;AL;2017;1.405.074,00;;;0,000
Taquarana;AL;2017;401.052,00;;;0,000
Anamã;AM;2017;1.296.792,00;;;0,000
Benjamin Constant;AM;2017;1.590.100,00;;;0,000
Boa Vista do Ramos;AM;2017;682.328,92;;;0,000
Borba;AM;2017;2.254.650,90;;;0,000
Canutama;AM;2017;295.784,00;;;0,000
Carauari;AM;2017;710.618,30;;;0,000
Careiro;AM;2017;395.000,00;;;0,000
Eirunepé;AM;2017;1.200.000,00;;;0,000
Envira;AM;2017;598.352,00;;;0,000
Fonte Boa;AM;2017;1.261.280,00;;;0,000
Guajará;AM;2017;980.000,00;;;0,000
Humaitá;AM;2017;3.803.608,32;;;0,000
Itacoatiara;AM;2017;16.208.740,96;;;0,000
Itapiranga;AM;2017;;;;#DIV/0!
Lábrea;AM;2017;2.092.777,89;;;0,000
Manaus;AM;2017;282.431.345,76;;;0,000
